"filename", "language", "Python", "Ini", "toml", "Markdown", "pip requirements", "XML", "comment", "blank", "total"
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\.idea\RSK_back.iml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\auth_service\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\auth_service\app\alembic.ini", "Ini", 0, 95, 0, 0, 0, 0, 0, 25, 120
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\auth_service\app\alembic\env.py", "Python", 36, 0, 0, 0, 0, 0, 12, 19, 67
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\auth_service\app\alembic\versions\182a66ca1cbd_fixed_user_model_for_test.py", "Python", 11, 0, 0, 0, 0, 0, 14, 8, 33
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\auth_service\app\alembic\versions\189d0e01a0b0_changed_id_to_uuid.py", "Python", 14, 0, 0, 0, 0, 0, 8, 7, 29
"c:\Users\ZXCdima\Desktop\rsk_backend\RSK_back\auth_service\app\alembic\versions\355c10e506b4_.py", "Python", 18, 0, 0, 0, 0, 0, 14, 8, 40
